Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 5 2014,7:00p,Miami Heat,89,Charlotte Hornets,96,Box Score,,15874,
Wed Nov 5 2014,7:00p,Orlando Magic,91,Philadelphia 76ers,89,Box Score,,12111,
Wed Nov 5 2014,7:30p,Toronto Raptors,110,Boston Celtics,107,Box Score,,16249,
Wed Nov 5 2014,7:30p,Minnesota Timberwolves,98,Brooklyn Nets,91,Box Score,,16302,
Wed Nov 5 2014,7:30p,New York Knicks,95,Detroit Pistons,98,Box Score,,11915,
Wed Nov 5 2014,8:00p,Chicago Bulls,95,Milwaukee Bucks,86,Box Score,,13098,
Wed Nov 5 2014,8:00p,Indiana Pacers,94,Washington Wizards,96,Box Score,OT,15268,
Wed Nov 5 2014,8:30p,Atlanta Hawks,92,San Antonio Spurs,94,Box Score,,18581,
Wed Nov 5 2014,9:00p,Memphis Grizzlies,102,Phoenix Suns,91,Box Score,,15377,
Wed Nov 5 2014,9:00p,Cleveland Cavaliers,100,Utah Jazz,102,Box Score,,19911,
Wed Nov 5 2014,10:00p,Denver Nuggets,109,Sacramento Kings,131,Box Score,,14539,
Wed Nov 5 2014,10:30p,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,19596,
Thu Nov 6 2014,8:00p,San Antonio Spurs,81,Houston Rockets,98,Box Score,,18311,
Thu Nov 6 2014,10:30p,Dallas Mavericks,87,Portland Trail Blazers,108,Box Score,,19441,
Fri Nov 7 2014,7:00p,Atlanta Hawks,119,Charlotte Hornets,122,Box Score,2OT,15891,
Fri Nov 7 2014,7:00p,Minnesota Timberwolves,103,Orlando Magic,112,Box Score,OT,16379,
Fri Nov 7 2014,7:00p,Chicago Bulls,118,Philadelphia 76ers,115,Box Score,,16820,
Fri Nov 7 2014,7:30p,Indiana Pacers,98,Boston Celtics,101,Box Score,,17122,
Fri Nov 7 2014,7:30p,New York Knicks,99,Brooklyn Nets,110,Box Score,,17732,
Fri Nov 7 2014,7:30p,Milwaukee Bucks,95,Detroit Pistons,98,Box Score,,16102,
Fri Nov 7 2014,7:30p,Washington Wizards,84,Toronto Raptors,103,Box Score,,19800,
Fri Nov 7 2014,8:00p,Memphis Grizzlies,91,Oklahoma City Thunder,89,Box Score,,18203,
Fri Nov 7 2014,9:00p,Sacramento Kings,114,Phoenix Suns,112,Box Score,2OT,15476,
Fri Nov 7 2014,9:00p,Dallas Mavericks,105,Utah Jazz,82,Box Score,,18419,
Fri Nov 7 2014,10:30p,Cleveland Cavaliers,110,Denver Nuggets,101,Box Score,,19623,
Sat Nov 8 2014,3:30p,Portland Trail Blazers,102,Los Angeles Clippers,106,Box Score,,19060,
Sat Nov 8 2014,7:00p,Washington Wizards,97,Indiana Pacers,90,Box Score,,17302,
Sat Nov 8 2014,7:30p,New York Knicks,96,Atlanta Hawks,103,Box Score,,17521,
Sat Nov 8 2014,7:30p,Minnesota Timberwolves,92,Miami Heat,102,Box Score,,19735,
Sat Nov 8 2014,8:00p,Boston Celtics,106,Chicago Bulls,101,Box Score,,22104,
Sat Nov 8 2014,8:00p,Golden State Warriors,98,Houston Rockets,87,Box Score,,18312,
Sat Nov 8 2014,8:30p,Memphis Grizzlies,92,Milwaukee Bucks,93,Box Score,,13841,
Sat Nov 8 2014,8:30p,New Orleans Pelicans,100,San Antonio Spurs,99,Box Score,,18581,
Sun Nov 9 2014,3:30p,Orlando Magic,96,Brooklyn Nets,104,Box Score,,16127,
Sun Nov 9 2014,6:00p,Utah Jazz,97,Detroit Pistons,96,Box Score,,12888,
Sun Nov 9 2014,7:00p,Sacramento Kings,93,Oklahoma City Thunder,101,Box Score,,18203,
Sun Nov 9 2014,7:00p,Philadelphia 76ers,88,Toronto Raptors,120,Box Score,,18470,
Sun Nov 9 2014,7:30p,Miami Heat,105,Dallas Mavericks,96,Box Score,,20195,
Sun Nov 9 2014,8:00p,Golden State Warriors,95,Phoenix Suns,107,Box Score,,16046,
Sun Nov 9 2014,9:00p,Denver Nuggets,100,Portland Trail Blazers,116,Box Score,,16046,
Sun Nov 9 2014,9:30p,Charlotte Hornets,92,Los Angeles Lakers,107,Box Score,,18997,
Mon Nov 10 2014,7:00p,New Orleans Pelicans,111,Cleveland Cavaliers,118,Box Score,,20562,
Mon Nov 10 2014,7:00p,Utah Jazz,86,Indiana Pacers,97,Box Score,,12513,
Mon Nov 10 2014,7:30p,Atlanta Hawks,91,New York Knicks,85,Box Score,,19812,
Mon Nov 10 2014,8:00p,Detroit Pistons,91,Chicago Bulls,102,Box Score,,21431,
Mon Nov 10 2014,10:30p,San Antonio Spurs,89,Los Angeles Clippers,85,Box Score,,19313,
Tue Nov 11 2014,7:30p,Orlando Magic,100,Toronto Raptors,104,Box Score,,19800,
Tue Nov 11 2014,8:00p,Los Angeles Lakers,102,Memphis Grizzlies,107,Box Score,,17618,
Tue Nov 11 2014,8:00p,Oklahoma City Thunder,78,Milwaukee Bucks,85,Box Score,,12390,
Tue Nov 11 2014,8:30p,Sacramento Kings,98,Dallas Mavericks,106,Box Score,,19663,
Tue Nov 11 2014,10:00p,Charlotte Hornets,100,Portland Trail Blazers,102,Box Score,,18495,
Tue Nov 11 2014,10:30p,San Antonio Spurs,113,Golden State Warriors,100,Box Score,,19596,
Wed Nov 12 2014,7:00p,Detroit Pistons,103,Washington Wizards,107,Box Score,,14708,
Wed Nov 12 2014,7:30p,Utah Jazz,97,Atlanta Hawks,100,Box Score,,12595,
Wed Nov 12 2014,7:30p,Oklahoma City Thunder,109,Boston Celtics,94,Box Score,,17043,
Wed Nov 12 2014,7:30p,Indiana Pacers,81,Miami Heat,75,Box Score,,19658,
Wed Nov 12 2014,7:30p,Orlando Magic,97,New York Knicks,95,Box Score,,19812,
Wed Nov 12 2014,8:00p,Los Angeles Lakers,102,New Orleans Pelicans,109,Box Score,,17359,
Wed Nov 12 2014,9:00p,Portland Trail Blazers,130,Denver Nuggets,113,Box Score,,12611,
Wed Nov 12 2014,9:00p,Brooklyn Nets,104,Phoenix Suns,112,Box Score,,15184,
Wed Nov 12 2014,10:00p,Houston Rockets,113,Minnesota Timberwolves,101,Box Score,,18996,at Mexico City Mexico
Thu Nov 13 2014,8:00p,Sacramento Kings,110,Memphis Grizzlies,111,Box Score,,15666,
Thu Nov 13 2014,8:00p,Chicago Bulls,100,Toronto Raptors,93,Box Score,,19800,
Thu Nov 13 2014,8:30p,Philadelphia 76ers,70,Dallas Mavericks,123,Box Score,,19604,
Thu Nov 13 2014,10:30p,Brooklyn Nets,99,Golden State Warriors,107,Box Score,,19596,
Fri Nov 14 2014,7:00p,Denver Nuggets,108,Indiana Pacers,87,Box Score,,16286,
Fri Nov 14 2014,7:00p,Milwaukee Bucks,85,Orlando Magic,101,Box Score,,15947,
Fri Nov 14 2014,7:30p,Miami Heat,103,Atlanta Hawks,114,Box Score,,17090,
Fri Nov 14 2014,7:30p,Cleveland Cavaliers,122,Boston Celtics,121,Box Score,,18624,
Fri Nov 14 2014,7:30p,Utah Jazz,102,New York Knicks,100,Box Score,,19812,
Fri Nov 14 2014,8:00p,Philadelphia 76ers,87,Houston Rockets,88,Box Score,,18138,
Fri Nov 14 2014,8:00p,Minnesota Timberwolves,91,New Orleans Pelicans,139,Box Score,,14775,
Fri Nov 14 2014,8:00p,Detroit Pistons,96,Oklahoma City Thunder,89,Box Score,OT,18203,
Fri Nov 14 2014,9:00p,Charlotte Hornets,103,Phoenix Suns,95,Box Score,,16291,
Fri Nov 14 2014,10:00p,San Antonio Spurs,93,Los Angeles Lakers,80,Box Score,,18997,
Sat Nov 15 2014,7:00p,Orlando Magic,93,Washington Wizards,98,Box Score,,19110,
Sat Nov 15 2014,7:30p,Atlanta Hawks,94,Cleveland Cavaliers,127,Box Score,,20562,
Sat Nov 15 2014,7:30p,Utah Jazz,93,Toronto Raptors,111,Box Score,,19800,
Sat Nov 15 2014,8:00p,Indiana Pacers,99,Chicago Bulls,90,Box Score,,22248,
Sat Nov 15 2014,8:00p,Detroit Pistons,88,Memphis Grizzlies,95,Box Score,,17215,
Sat Nov 15 2014,8:30p,Minnesota Timberwolves,117,Dallas Mavericks,131,Box Score,,19730,
Sat Nov 15 2014,10:00p,Brooklyn Nets,87,Portland Trail Blazers,97,Box Score,,19441,
Sat Nov 15 2014,10:00p,San Antonio Spurs,91,Sacramento Kings,94,Box Score,,17317,
Sat Nov 15 2014,10:30p,Charlotte Hornets,87,Golden State Warriors,112,Box Score,,19596,
Sat Nov 15 2014,10:30p,Phoenix Suns,107,Los Angeles Clippers,120,Box Score,,19060,
Sun Nov 16 2014,1:00p,Denver Nuggets,93,New York Knicks,109,Box Score,,19812,
Sun Nov 16 2014,6:00p,Milwaukee Bucks,91,Miami Heat,84,Box Score,,19680,
Sun Nov 16 2014,7:00p,Houston Rockets,69,Oklahoma City Thunder,65,Box Score,,18203,
Sun Nov 16 2014,9:30p,Golden State Warriors,136,Los Angeles Lakers,115,Box Score,,18997,
Mon Nov 17 2014,7:00p,Dallas Mavericks,107,Charlotte Hornets,80,Box Score,,15345,
Mon Nov 17 2014,7:00p,Denver Nuggets,106,Cleveland Cavaliers,97,Box Score,,20562,
Mon Nov 17 2014,7:30p,Phoenix Suns,118,Boston Celtics,114,Box Score,,16726,
Mon Nov 17 2014,7:30p,Miami Heat,95,Brooklyn Nets,83,Box Score,,17732,
Mon Nov 17 2014,7:30p,Orlando Magic,107,Detroit Pistons,93,Box Score,,11619,
Mon Nov 17 2014,8:00p,Houston Rockets,93,Memphis Grizzlies,119,Box Score,,17012,
Mon Nov 17 2014,8:30p,Philadelphia 76ers,75,San Antonio Spurs,100,Box Score,,18581,
Mon Nov 17 2014,10:00p,New Orleans Pelicans,93,Portland Trail Blazers,102,Box Score,,19441,
Mon Nov 17 2014,10:30p,Chicago Bulls,105,Los Angeles Clippers,89,Box Score,,19319,
Tue Nov 18 2014,7:30p,Los Angeles Lakers,114,Atlanta Hawks,109,Box Score,,17848,
Tue Nov 18 2014,8:00p,New York Knicks,113,Milwaukee Bucks,117,Box Score,,12190,
Tue Nov 18 2014,9:00p,Oklahoma City Thunder,81,Utah Jazz,98,Box Score,,17190,
Tue Nov 18 2014,10:00p,New Orleans Pelicans,106,Sacramento Kings,100,Box Score,,16526,
Wed Nov 19 2014,7:00p,San Antonio Spurs,92,Cleveland Cavaliers,90,Box Score,,20562,
Wed Nov 19 2014,7:00p,Charlotte Hornets,86,Indiana Pacers,88,Box Score,,14748,
Wed Nov 19 2014,7:00p,Los Angeles Clippers,114,Orlando Magic,90,Box Score,,16034,
Wed Nov 19 2014,7:00p,Boston Celtics,101,Philadelphia 76ers,90,Box Score,,12701,
Wed Nov 19 2014,7:00p,Dallas Mavericks,105,Washington Wizards,102,Box Score,,16374,
Wed Nov 19 2014,7:30p,Milwaukee Bucks,122,Brooklyn Nets,118,Box Score,3OT,15694,
Wed Nov 19 2014,7:30p,Phoenix Suns,88,Detroit Pistons,86,Box Score,,10686,
Wed Nov 19 2014,7:30p,Memphis Grizzlies,92,Toronto Raptors,96,Box Score,,19800,
Wed Nov 19 2014,8:00p,New York Knicks,99,Minnesota Timberwolves,115,Box Score,,15304,
Wed Nov 19 2014,9:00p,Oklahoma City Thunder,100,Denver Nuggets,107,Box Score,,14140,
Wed Nov 19 2014,9:30p,Los Angeles Lakers,98,Houston Rockets,92,Box Score,,18245,
Thu Nov 20 2014,8:00p,Los Angeles Clippers,110,Miami Heat,93,Box Score,,19685,
Thu Nov 20 2014,10:30p,Chicago Bulls,88,Sacramento Kings,103,Box Score,,17317,
Fri Nov 21 2014,7:00p,Orlando Magic,105,Charlotte Hornets,100,Box Score,,18126,
Fri Nov 21 2014,7:00p,Phoenix Suns,122,Philadelphia 76ers,96,Box Score,,16789,
Fri Nov 21 2014,7:30p,Detroit Pistons,89,Atlanta Hawks,99,Box Score,,16517,
Fri Nov 21 2014,7:30p,Milwaukee Bucks,82,Toronto Raptors,124,Box Score,,19800,
Fri Nov 21 2014,8:00p,Boston Celtics,100,Memphis Grizzlies,117,Box Score,,17712,
Fri Nov 21 2014,8:00p,San Antonio Spurs,121,Minnesota Timberwolves,92,Box Score,,12414,
Fri Nov 21 2014,8:00p,Brooklyn Nets,94,Oklahoma City Thunder,92,Box Score,,18203,
Fri Nov 21 2014,8:00p,Cleveland Cavaliers,78,Washington Wizards,91,Box Score,,20356,
Fri Nov 21 2014,8:30p,Los Angeles Lakers,106,Dallas Mavericks,140,Box Score,,20353,
Fri Nov 21 2014,9:00p,New Orleans Pelicans,97,Denver Nuggets,117,Box Score,,15232,
Fri Nov 21 2014,10:30p,Utah Jazz,88,Golden State Warriors,101,Box Score,,19596,
Fri Nov 21 2014,10:30p,Chicago Bulls,87,Portland Trail Blazers,105,Box Score,,19866,
Sat Nov 22 2014,7:00p,Phoenix Suns,106,Indiana Pacers,83,Box Score,,16870,
Sat Nov 22 2014,7:00p,Miami Heat,99,Orlando Magic,92,Box Score,,18846,
Sat Nov 22 2014,7:30p,Toronto Raptors,110,Cleveland Cavaliers,93,Box Score,,20562,
Sat Nov 22 2014,7:30p,Philadelphia 76ers,83,New York Knicks,91,Box Score,,19812,
Sat Nov 22 2014,8:00p,Dallas Mavericks,92,Houston Rockets,95,Box Score,,18244,
Sat Nov 22 2014,8:00p,Sacramento Kings,113,Minnesota Timberwolves,101,Box Score,,13191,
Sat Nov 22 2014,8:30p,Washington Wizards,111,Milwaukee Bucks,100,Box Score,,14254,
Sat Nov 22 2014,8:30p,Brooklyn Nets,87,San Antonio Spurs,99,Box Score,,18581,
Sat Nov 22 2014,9:00p,New Orleans Pelicans,106,Utah Jazz,94,Box Score,,18452,
Sun Nov 23 2014,6:00p,Portland Trail Blazers,94,Boston Celtics,88,Box Score,,16692,
Sun Nov 23 2014,6:00p,Los Angeles Clippers,91,Memphis Grizzlies,107,Box Score,,18119,
Sun Nov 23 2014,6:00p,Charlotte Hornets,93,Miami Heat,94,Box Score,,19639,
Sun Nov 23 2014,7:00p,Golden State Warriors,91,Oklahoma City Thunder,86,Box Score,,18203,
Sun Nov 23 2014,9:30p,Denver Nuggets,101,Los Angeles Lakers,94,Box Score,OT,18997,
Mon Nov 24 2014,7:00p,Los Angeles Clippers,113,Charlotte Hornets,92,Box Score,,17180,
Mon Nov 24 2014,7:00p,Orlando Magic,74,Cleveland Cavaliers,106,Box Score,,20562,
Mon Nov 24 2014,7:00p,Portland Trail Blazers,114,Philadelphia 76ers,104,Box Score,,11094,
Mon Nov 24 2014,7:30p,Phoenix Suns,100,Toronto Raptors,104,Box Score,,19800,
Mon Nov 24 2014,8:00p,New York Knicks,86,Houston Rockets,91,Box Score,,18133,
Mon Nov 24 2014,8:30p,Indiana Pacers,111,Dallas Mavericks,100,Box Score,,19850,
Mon Nov 24 2014,9:00p,Chicago Bulls,97,Utah Jazz,95,Box Score,,18904,
Tue Nov 25 2014,7:00p,Atlanta Hawks,106,Washington Wizards,102,Box Score,,15440,
Tue Nov 25 2014,7:30p,Golden State Warriors,114,Miami Heat,97,Box Score,,19647,
Tue Nov 25 2014,8:00p,Detroit Pistons,86,Milwaukee Bucks,98,Box Score,,15265,
Tue Nov 25 2014,8:00p,Sacramento Kings,99,New Orleans Pelicans,89,Box Score,,17037,
Tue Nov 25 2014,9:00p,Chicago Bulls,109,Denver Nuggets,114,Box Score,,17033,
Wed Nov 26 2014,7:00p,Portland Trail Blazers,105,Charlotte Hornets,97,Box Score,,16972,
Wed Nov 26 2014,7:00p,Washington Wizards,87,Cleveland Cavaliers,113,Box Score,,20562,
Wed Nov 26 2014,7:00p,Golden State Warriors,111,Orlando Magic,96,Box Score,,17702,
Wed Nov 26 2014,7:00p,Brooklyn Nets,99,Philadelphia 76ers,91,Box Score,,11223,
Wed Nov 26 2014,7:30p,Toronto Raptors,126,Atlanta Hawks,115,Box Score,,16253,
Wed Nov 26 2014,7:30p,New York Knicks,102,Dallas Mavericks,109,Box Score,OT,20352,
Wed Nov 26 2014,7:30p,Los Angeles Clippers,104,Detroit Pistons,98,Box Score,,13461,
Wed Nov 26 2014,8:00p,Sacramento Kings,89,Houston Rockets,102,Box Score,,18058,
Wed Nov 26 2014,8:00p,Milwaukee Bucks,103,Minnesota Timberwolves,86,Box Score,,14710,
Wed Nov 26 2014,8:00p,Utah Jazz,82,Oklahoma City Thunder,97,Box Score,,18203,
Wed Nov 26 2014,8:30p,Indiana Pacers,100,San Antonio Spurs,106,Box Score,,18581,
Wed Nov 26 2014,9:00p,Denver Nuggets,112,Phoenix Suns,120,Box Score,,16099,
Wed Nov 26 2014,10:30p,Memphis Grizzlies,99,Los Angeles Lakers,93,Box Score,,18997,
Fri Nov 28 2014,1:00p,Chicago Bulls,109,Boston Celtics,102,Box Score,,18203,
Fri Nov 28 2014,7:00p,Golden State Warriors,106,Charlotte Hornets,101,Box Score,,19381,
Fri Nov 28 2014,7:30p,New Orleans Pelicans,91,Atlanta Hawks,100,Box Score,,17079,
Fri Nov 28 2014,7:30p,Milwaukee Bucks,104,Detroit Pistons,88,Box Score,,13127,
Fri Nov 28 2014,7:30p,Dallas Mavericks,106,Toronto Raptors,102,Box Score,,19800,
Fri Nov 28 2014,8:00p,Los Angeles Clippers,102,Houston Rockets,85,Box Score,,18226,
Fri Nov 28 2014,8:00p,Orlando Magic,83,Indiana Pacers,98,Box Score,,18165,
Fri Nov 28 2014,8:00p,New York Knicks,78,Oklahoma City Thunder,105,Box Score,,18203,
Fri Nov 28 2014,8:30p,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,18581,
Fri Nov 28 2014,9:00p,Phoenix Suns,97,Denver Nuggets,122,Box Score,,15509,
Fri Nov 28 2014,10:00p,Memphis Grizzlies,112,Portland Trail Blazers,99,Box Score,,19459,
Fri Nov 28 2014,10:30p,Minnesota Timberwolves,120,Los Angeles Lakers,119,Box Score,,18997,
Sat Nov 29 2014,7:00p,Dallas Mavericks,110,Philadelphia 76ers,103,Box Score,,16145,
Sat Nov 29 2014,7:00p,New Orleans Pelicans,80,Washington Wizards,83,Box Score,,17581,
Sat Nov 29 2014,7:30p,Charlotte Hornets,75,Atlanta Hawks,105,Box Score,,14185,
Sat Nov 29 2014,7:30p,Indiana Pacers,97,Cleveland Cavaliers,109,Box Score,,20562,
Sat Nov 29 2014,9:00p,Houston Rockets,117,Milwaukee Bucks,103,Box Score,,16119,
Sat Nov 29 2014,9:00p,Los Angeles Clippers,112,Utah Jazz,96,Box Score,,18479,
Sun Nov 30 2014,1:00p,San Antonio Spurs,111,Boston Celtics,89,Box Score,,17121,
Sun Nov 30 2014,3:00p,Chicago Bulls,102,Brooklyn Nets,84,Box Score,,17732,
Sun Nov 30 2014,3:30p,Golden State Warriors,104,Detroit Pistons,93,Box Score,,12737,
Sun Nov 30 2014,6:00p,Memphis Grizzlies,97,Sacramento Kings,85,Box Score,,16240,
Sun Nov 30 2014,7:30p,Miami Heat,86,New York Knicks,79,Box Score,,19812,
Sun Nov 30 2014,8:00p,Orlando Magic,93,Phoenix Suns,90,Box Score,,15558,
Sun Nov 30 2014,9:00p,Minnesota Timberwolves,93,Portland Trail Blazers,107,Box Score,,18843,
Sun Nov 30 2014,9:30p,Toronto Raptors,122,Los Angeles Lakers,129,Box Score,OT,18997,
Mon Dec 1 2014,7:00p,San Antonio Spurs,109,Philadelphia 76ers,103,Box Score,,12843,
Mon Dec 1 2014,7:00p,Miami Heat,86,Washington Wizards,107,Box Score,,15150,
Mon Dec 1 2014,9:00p,Denver Nuggets,103,Utah Jazz,101,Box Score,,16768,
Mon Dec 1 2014,10:30p,Minnesota Timberwolves,101,Los Angeles Clippers,127,Box Score,,19060,
Tue Dec 2 2014,7:00p,Milwaukee Bucks,108,Cleveland Cavaliers,111,Box Score,,20562,
Tue Dec 2 2014,7:30p,Boston Celtics,105,Atlanta Hawks,109,Box Score,,12705,
Tue Dec 2 2014,7:30p,Los Angeles Lakers,106,Detroit Pistons,96,Box Score,,14083,
Tue Dec 2 2014,7:30p,Brooklyn Nets,98,New York Knicks,93,Box Score,,19812,
Tue Dec 2 2014,8:00p,Dallas Mavericks,132,Chicago Bulls,129,Box Score,2OT,22042,
Tue Dec 2 2014,8:00p,Oklahoma City Thunder,104,New Orleans Pelicans,112,Box Score,,13903,
Tue Dec 2 2014,9:00p,Portland Trail Blazers,105,Denver Nuggets,103,Box Score,,12822,
Tue Dec 2 2014,9:00p,Indiana Pacers,99,Phoenix Suns,116,Box Score,,15059,
Tue Dec 2 2014,10:00p,Toronto Raptors,117,Sacramento Kings,109,Box Score,,15522,
Tue Dec 2 2014,10:30p,Orlando Magic,97,Golden State Warriors,98,Box Score,,19596,
Wed Dec 3 2014,7:00p,Chicago Bulls,102,Charlotte Hornets,95,Box Score,,16887,
Wed Dec 3 2014,7:00p,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,18490,
Wed Dec 3 2014,7:30p,Detroit Pistons,102,Boston Celtics,109,Box Score,OT,15870,
Wed Dec 3 2014,7:30p,San Antonio Spurs,93,Brooklyn Nets,95,Box Score,OT,15989,
Wed Dec 3 2014,7:30p,Atlanta Hawks,112,Miami Heat,102,Box Score,,19600,
Wed Dec 3 2014,8:00p,Memphis Grizzlies,96,Houston Rockets,105,Box Score,,18151,
Wed Dec 3 2014,8:00p,Dallas Mavericks,107,Milwaukee Bucks,105,Box Score,,13568,
Wed Dec 3 2014,8:00p,Philadelphia 76ers,85,Minnesota Timberwolves,77,Box Score,,10463,
Wed Dec 3 2014,9:00p,Toronto Raptors,123,Utah Jazz,104,Box Score,,16677,
Wed Dec 3 2014,10:30p,Orlando Magic,86,Los Angeles Clippers,114,Box Score,,19060,
Thu Dec 4 2014,8:00p,Cleveland Cavaliers,90,New York Knicks,87,Box Score,,19812,
Thu Dec 4 2014,10:00p,Indiana Pacers,82,Portland Trail Blazers,88,Box Score,,19191,
Thu Dec 4 2014,10:30p,New Orleans Pelicans,85,Golden State Warriors,112,Box Score,,19596,
Fri Dec 5 2014,7:00p,New York Knicks,102,Charlotte Hornets,103,Box Score,,19102,
